Device: cuda:1
Dataset: fr_en
Entities: 39654
Triples KG1: 105998
Triples KG2: 115722
Training pairs: 4500
Hidden units: 768,768,768
Heads: 2,2
Epoch 01/40 | structure loss: 0.852098
Epoch 02/40 | structure loss: 0.529733
Epoch 03/40 | structure loss: 0.310615
Epoch 04/40 | structure loss: 0.209291
Epoch 05/40 | structure loss: 0.152443
Epoch 06/40 | structure loss: 0.126908
Epoch 07/40 | structure loss: 0.107880
Epoch 08/40 | structure loss: 0.092859
Epoch 09/40 | structure loss: 0.084196
Epoch 10/40 | structure loss: 0.074054
Epoch 11/40 | structure loss: 0.069408
Epoch 12/40 | structure loss: 0.067811
Epoch 13/40 | structure loss: 0.061636
Epoch 14/40 | structure loss: 0.060116
Epoch 15/40 | structure loss: 0.056165
Epoch 16/40 | structure loss: 0.055089
Epoch 17/40 | structure loss: 0.050788
Epoch 18/40 | structure loss: 0.048216
Epoch 19/40 | structure loss: 0.045855
Epoch 20/40 | structure loss: 0.045629
Epoch 21/40 | structure loss: 0.043090
Epoch 22/40 | structure loss: 0.039117
Epoch 23/40 | structure loss: 0.042356
Epoch 24/40 | structure loss: 0.037922
Epoch 25/40 | structure loss: 0.038128
Epoch 26/40 | structure loss: 0.036021
Epoch 27/40 | structure loss: 0.036088
Epoch 28/40 | structure loss: 0.038122
Epoch 29/40 | structure loss: 0.036994
Epoch 30/40 | structure loss: 0.034536
Epoch 31/40 | structure loss: 0.032998
Epoch 32/40 | structure loss: 0.033214
Epoch 33/40 | structure loss: 0.030875
Epoch 34/40 | structure loss: 0.026850
Epoch 35/40 | structure loss: 0.027665
Epoch 36/40 | structure loss: 0.026202
Epoch 37/40 | structure loss: 0.024890
Epoch 38/40 | structure loss: 0.024602
Epoch 39/40 | structure loss: 0.023652
Epoch 40/40 | structure loss: 0.023283
Saved entities: 39654
Feature dim: 768
Saved to: /home/UNT/cl1179/code/RULE/data/pkls/DBP15K/fr_en/structure_feature.pkl
